Grade	Subject	theta	RawScore	scaledscore	perflevel	LowScaledScore	HighScaledScore	GrowthTheta	Information	StandardErrorTheta	StandardErrorScaleScore
7	ela	-2.85220341	19	212	1	209.6778452	213.9955854	-3.030138534	8.167915177	0.349900361	2.153641841
7	ela	-2.728356459	20	212	1	209.6778452	213.9955854	-2.89019909	8.794773488	0.337200081	2.075471434
7	ela	-2.612147649	21	214	1	212.0404824	215.9568405	-2.758890277	9.375220083	0.326594799	2.010195766
7	ela	-2.502273651	22	214	1	212.0404824	215.9568405	-2.634739411	9.908337158	0.317687123	1.955368891
7	ela	-2.397675841	23	214	1	212.0404824	215.9568405	-2.516550314	10.39582177	0.310149144	1.908972522
7	ela	-2.297486809	24	216	1	214.3196554	217.9657055	-2.403342866	10.84050489	0.303721296	1.869409024
7	ela	-2.200985983	25	216	1	214.3196554	217.9657055	-2.294302863	11.24527873	0.298204977	1.835455997
7	ela	-2.107574982	26	216	1	214.3196554	217.9657055	-2.188754172	11.61238345	0.293453515	1.806210679
7	ela	-2.016733951	27	216	1	214.3196554	217.9657055	-2.08610939	11.94313517	0.289361553	1.781024591
7	ela	-1.928014911	28	218	1	216.334418	220.024354	-1.985862327	12.23777571	0.28585695	1.759453709
7	ela	-1.841023105	29	218	1	216.334418	220.024354	-1.887566933	12.49557564	0.282892782	1.74120921
7	ela	-1.75540365	30	218	1	216.334418	220.024354	-1.79082221	12.71505741	0.280440567	2.034240999
