Grade,Subject,theta,StandardErrorTheta,se,CAP,RawScore,scaledscore,perflevel,GrowthTheta,Information,GrowthThetaSe
04,mat,-6.69816949014839,4.41754924540418,.95299,1,4,204,1,-4.66035002472982,.051243313083388,2.98556080679467
04,mat,-6.10761109343359,3.53118779063106,.95299,1,5,204,1,-4.26122645973742,.0801970459852228,2.38652141345294
04,mat,-5.51705269671878,2.75798031181787,.95299,1,6,204,1,-3.86210289474501,.131467279746451,1.86395611400171
04,mat,-4.92649430000397,2.0794604219789,.95299,1,7,206,1,-3.46297932975261,.231259020657981,1.40538456738197
04,mat,-4.33593590328917,1.49513541632566,.95299,1,8,206,1,-3.0638557647602,.447341244794517,1.0104737835071
04,mat,-3.63049323280351,.952990736203434,.952990736203434,0,9,208,1,-2.5870886997108,1.10108955275647,.644070192133659
04,mat,-3.10130260837531,.677920440019952,.677920440019952,0,10,208,1,-2.22943999001962,2.17591809052026,.458166413867195
04,mat,-2.75970370800413,.555292199465657,.555292199465657,0,11,210,1,-1.99857345476744,3.24307397104213,.375289223717933
04,mat,-2.5019885160684,.48572710414569,.48572710414569,0,12,212,1,-1.82439896714642,4.23853060513292,.328274281592658
04,mat,-2.29138064511077,.440722247114561,.440722247114561,0,13,212,1,-1.68206153745332,5.14837357537936,.297858154956985
04,mat,-2.11076439973036,.409131524928604,.409131524928604,0,14,214,1,-1.55999367735211,5.9741223236167,.276507850347511
04,mat,-1.95082729273973,.385708951897071,.385708951897071,0,15,214,1,-1.45190162638514,6.72172225141026,.26067791565918
04,mat,-1.80596489268951,.367668729971553,.367668729971553,0,16,214,1,-1.35399768011491,7.39752787200364,.248485594411661
04,mat,-1.67253643881022,.353397158101194,.353397158101194,0,17,216,1,-1.26382126321867,8.00707496470616,.238840281306928
04,mat,-1.54806616219011,.341894649154201,.341894649154201,0,18,216,1,-1.17969914961134,8.55490896007942,.231066414399237
04,mat,-1.43077742093694,.332498289177908,.332498289177908,0,19,216,1,-1.10043061189711,9.04526239573635,.224715969273822
04,mat,-1.31935922886231,.324739688523398,.324739688523398,0,20,218,1,-1.02512963188699,9.48263993788919,.219472389011808
04,mat,-1.21281291780773,.318266434884763,.318266434884763,0,21,218,1,-.953121268715021,9.87229947891895,.215097498935358
04,mat,-1.11035184778831,.31279930053942,.31279930053942,0,22,218,1,-.883873878843708,10.2204131835928,.211402585507077
