CountryCode,RegionCode,TestCode,Subject,Grade,ProficiencyLevel,ProficiencyName,Linked,ProficiencyFlag,MinSS,MaxSS,MinRasch,MaxRasch
US,CO,CO,READING,3,4,Met Expectations,1,0,1001,1082,1.0077,2.8945
US,CO,CO,READING,3,5,Exceeded Expectations,1,1,1082,1339,2.8945,999.9999
US,CO,CO,READING,4,1,Did Not Yet Meet Expectations,1,-1,610,931,-999.9999,-0.6228
US,CO,CO,READING,4,2,Partially Met Expectations,1,-1,931,982,-0.6228,0.5652
US,CO,CO,READING,4,3,Approached Expectations,1,-1,982,1030,0.5652,1.6833
US,CO,CO,READING,4,4,Met Expectations,1,0,1030,1101,1.6833,3.3371
US,CO,CO,READING,4,5,Exceeded Expectations,1,1,1101,1346,3.3371,999.9999
US,CO,CO,READING,5,1,Did Not Yet Meet Expectations,1,-1,610,932,-999.9999,-0.5995
US,CO,CO,READING,5,2,Partially Met Expectations,1,-1,932,997,-0.5995,0.9146
US,CO,CO,READING,5,3,Approached Expectations,1,-1,997,1050,0.9146,2.1491
US,CO,CO,READING,5,4,Met Expectations,1,0,1050,1138,2.1491,4.199
US,CO,CO,READING,5,5,Exceeded Expectations,1,1,1138,1355,4.199,999.9999
US,CO,CO,READING,6,1,Did Not Yet Meet Expectations,1,-1,610,964,-999.9999,0.1459
US,CO,CO,READING,6,2,Partially Met Expectations,1,-1,964,1028,0.1459,1.6367
US,CO,CO,READING,6,3,Approached Expectations,1,-1,1028,1079,1.6367,2.8246
US,CO,CO,READING,6,4,Met Expectations,1,0,1079,1157,2.8246,4.6416
US,CO,CO,READING,6,5,Exceeded Expectations,1,1,1157,1393,4.6416,999.9999
US,CO,CO,READING,7,1,Did Not Yet Meet Expectations,1,-1,610,998,-999.9999,0.9379
US,CO,CO,READING,7,2,Partially Met Expectations,1,-1,998,1049,0.9379,2.1258
US,CO,CO,READING,7,3,Approached Expectations,1,-1,1049,1093,2.1258,3.1508
US,CO,CO,READING,7,4,Met Expectations,1,0,1093,1160,3.1508,4.7114
