vchRegionCode	StateTest	Subject	Grade	ProficiencyLevel	ProficiencyLevelName	MinSS	MaxSS	Linked
AL	AL	Math	12	4	Exceeding	922	1400	0
AL	AL	Reading	1	1	Need Support	0	153	0
AL	AL	Reading	1	2	Close	154	218	0
AL	AL	Reading	1	3	Ready	219	293	0
AL	AL	Reading	1	4	Exceeding	294	1400	0
AL	AL	Reading	2	1	Need Support	0	315	0
AL	AL	Reading	2	2	Close	316	385	0
AL	AL	Reading	2	3	Ready	386	474	0
AL	AL	Reading	2	4	Exceeding	475	1400	0
AL	AL	Reading	3	1	Need Support	0	417	1
AL	AL	Reading	3	2	Close	418	501	1
AL	AL	Reading	3	3	Ready	502	607	1
AL	AL	Reading	3	4	Exceeding	608	1400	1
AL	AL	Reading	4	1	Need Support	0	439	1
AL	AL	Reading	4	2	Close	440	573	1
AL	AL	Reading	4	3	Ready	574	724	1
AL	AL	Reading	4	4	Exceeding	725	1400	1
AL	AL	Reading	5	1	Need Support	0	523	1
AL	AL	Reading	5	2	Close	524	698	1
AL	AL	Reading	5	3	Ready	699	859	1
AL	AL	Reading	5	4	Exceeding	860	1400	1
AL	AL	Reading	6	1	Need Support	0	524	1
AL	AL	Reading	6	2	Close	525	721	1
AL	AL	Reading	6	3	Ready	722	932	1
AL	AL	Reading	6	4	Exceeding	933	1400	1
AL	AL	Reading	7	1	Need Support	0	525	1
AL	AL	Reading	7	2	Close	526	852	1
AL	AL	Reading	7	3	Ready	853	1211	1
AL	AL	Reading	7	4	Exceeding	1212	1400	1
AL	AL	Reading	8	1	Need Support	0	526	1
AL	AL	Reading	8	2	Close	527	853	1
AL	AL	Reading	8	3	Ready	854	1212	1
AL	AL	Reading	8	4	Exceeding	1213	1400	1
AL	AL	Reading	9	1	Need Support	0	613	0
AL	AL	Reading	9	2	Close	614	923	0
AL	AL	Reading	9	3	Ready	924	1253	0
AL	AL	Reading	9	4	Exceeding	1254	1400	0
AL	AL	Reading	10	1	Need Support	0	620	0
AL	AL	Reading	10	2	Close	621	963	0
AL	AL	Reading	10	3	Ready	964	1294	0
AL	AL	Reading	10	4	Exceeding	1295	1400	0
AL	AL	Reading	11	1	Need Support	0	649	0
AL	AL	Reading	11	2	Close	650	1001	0
AL	AL	Reading	11	3	Ready	1002	1309	0
AL	AL	Reading	11	4	Exceeding	1310	1400	0
AL	AL	Reading	12	1	Need Support	0	678	0
AL	AL	Reading	12	2	Close	679	1081	0
AL	AL	Reading	12	3	Ready	1082	1324	0
AL	AL	Reading	12	4	Exceeding	1325	1400	0
AR	AR	Math	1	1	Need Support	0	342	0
AR	AR	Math	1	2	Close	343	424	0
AR	AR	Math	1	3	Ready	425	497	0
AR	AR	Math	1	4	Exceeding	498	1400	0
AR	AR	Math	2	1	Need Support	0	459	0
AR	AR	Math	2	2	Close	460	531	0
AR	AR	Math	2	3	Ready	532	598	0
AR	AR	Math	2	4	Exceeding	599	1400	0
AR	AR	Math	3	1	Need Support	0	546	1
AR	AR	Math	3	2	Close	547	622	1
AR	AR	Math	3	3	Ready	623	680	1
AR	AR	Math	3	4	Exceeding	681	1400	1
AR	AR	Math	4	1	Need Support	0	564	1
AR	AR	Math	4	2	Close	565	691	1
AR	AR	Math	4	3	Ready	692	761	1
AR	AR	Math	4	4	Exceeding	762	1400	1
AR	AR	Math	5	1	Need Support	0	601	1
AR	AR	Math	5	2	Close	602	755	1
AR	AR	Math	5	3	Ready	756	814	1
AR	AR	Math	5	4	Exceeding	815	1400	1
AR	AR	Math	6	1	Need Support	0	662	1
AR	AR	Math	6	2	Close	663	777	1
AR	AR	Math	6	3	Ready	778	841	1
AR	AR	Math	6	4	Exceeding	842	1400	1
AR	AR	Math	7	1	Need Support	0	738	1
