vchRegionCode	StateTest	Subject	Grade	ProficiencyLevel	ProficiencyLevelName	MinSS	MaxSS	Linked
AR	AR	Reading	4	4	Advanced	585	1400	1
AR	AR	Reading	5	1	Below Basic	0	334	1
AR	AR	Reading	5	2	Basic	335	507	1
AR	AR	Reading	5	3	Proficient	508	727	1
AR	AR	Reading	5	4	Advanced	728	1400	1
AR	AR	Reading	6	1	Below Basic	0	401	1
AR	AR	Reading	6	2	Basic	402	572	1
AR	AR	Reading	6	3	Proficient	573	800	1
AR	AR	Reading	6	4	Advanced	801	1400	1
AR	AR	Reading	7	1	Below Basic	0	379	1
AR	AR	Reading	7	2	Basic	380	655	1
AR	AR	Reading	7	3	Proficient	656	1007	1
AR	AR	Reading	7	4	Advanced	1008	1400	1
AR	AR	Reading	8	1	Below Basic	0	473	1
AR	AR	Reading	8	2	Basic	474	678	1
AR	AR	Reading	8	3	Proficient	679	1170	1
AR	AR	Reading	8	4	Advanced	1171	1400	1
AR	AR	Reading	9	1	Below Basic	0	551	0
AR	AR	Reading	9	2	Basic	552	792	0
AR	AR	Reading	9	3	Proficient	793	1238	0
AR	AR	Reading	9	4	Advanced	1239	1400	0
AR	AR	Reading	10	1	Below Basic	0	564	0
AR	AR	Reading	10	2	Basic	565	831	0
AR	AR	Reading	10	3	Proficient	832	1282	0
AR	AR	Reading	10	4	Advanced	1283	1400	0
AR	AR	Reading	11	1	Below Basic	0	591	0
AR	AR	Reading	11	2	Basic	592	870	0
AR	AR	Reading	11	3	Proficient	871	1304	0
AR	AR	Reading	11	4	Advanced	1305	1400	0
AR	AR	Reading	12	1	Below Basic	0	607	0
AR	AR	Reading	12	2	Basic	608	901	0
AR	AR	Reading	12	3	Proficient	902	1321	0
AR	AR	Reading	12	4	Advanced	1322	1400	0
AZ	AZ	Math	1	1	Far Below Standard	0	287	0
AZ	AZ	Math	1	2	Approaches Standard	288	360	0
AZ	AZ	Math	1	3	Meets Standard	361	467	0
AZ	AZ	Math	1	4	Exceeds Standard	468	1400	0
AZ	AZ	Math	2	1	Far Below Standard	0	418	0
AZ	AZ	Math	2	2	Approaches Standard	419	477	0
AZ	AZ	Math	2	3	Meets Standard	478	570	0
AZ	AZ	Math	2	4	Exceeds Standard	571	1400	0
AZ	AZ	Math	3	1	Far Below Standard	0	478	1
AZ	AZ	Math	3	2	Approaches Standard	479	568	1
AZ	AZ	Math	3	3	Meets Standard	569	665	1
AZ	AZ	Math	3	4	Exceeds Standard	666	1400	1
AZ	AZ	Math	4	1	Far Below Standard	0	559	1
AZ	AZ	Math	4	2	Approaches Standard	560	635	1
AZ	AZ	Math	4	3	Meets Standard	636	740	1
AZ	AZ	Math	4	4	Exceeds Standard	741	1400	1
AZ	AZ	Math	5	1	Far Below Standard	0	612	1
AZ	AZ	Math	5	2	Approaches Standard	613	697	1
AZ	AZ	Math	5	3	Meets Standard	698	807	1
AZ	AZ	Math	5	4	Exceeds Standard	808	1400	1
AZ	AZ	Math	6	1	Far Below Standard	0	667	1
AZ	AZ	Math	6	2	Approaches Standard	668	750	1
AZ	AZ	Math	6	3	Meets Standard	751	828	1
AZ	AZ	Math	6	4	Exceeds Standard	829	1400	1
AZ	AZ	Math	7	1	Far Below Standard	0	673	1
AZ	AZ	Math	7	2	Approaches Standard	674	751	1
AZ	AZ	Math	7	3	Meets Standard	752	838	1
AZ	AZ	Math	7	4	Exceeds Standard	839	1400	1
