vchRegionCode,StateTest,Subject,Grade,iProficiencyLevel,vchProficiency,iMinSS,iMaxSS,linked,ProfFlag
AR,AR,Math,5,3,Ready,756,814,1,1
AR,AR,Math,5,4,Exceeding,815,1400,1,1
AR,AR,Math,6,1,Need Support,0,662,1,0
AR,AR,Math,6,2,Close,663,777,1,0
AR,AR,Math,6,3,Ready,778,841,1,1
AR,AR,Math,6,4,Exceeding,842,1400,1,1
AR,AR,Math,7,1,Need Support,0,738,1,0
AR,AR,Math,7,2,Close,739,821,1,0
AR,AR,Math,7,3,Ready,822,876,1,1
AR,AR,Math,7,4,Exceeding,877,1400,1,1
AR,AR,Math,8,1,Need Support,0,787,1,0
AR,AR,Math,8,2,Close,788,849,1,0
AR,AR,Math,8,3,Ready,850,889,1,1
AR,AR,Math,8,4,Exceeding,890,1400,1,1
AR,AR,Math,9,1,Need Support,0,798,0,0
AR,AR,Math,9,2,Close,799,854,0,0
AR,AR,Math,9,3,Ready,855,894,0,1
AR,AR,Math,9,4,Exceeding,895,1400,0,1
AR,AR,Math,10,1,Need Support,0,802,0,0
AR,AR,Math,10,2,Close,803,859,0,0
AR,AR,Math,10,3,Ready,860,899,0,1
AR,AR,Math,10,4,Exceeding,900,1400,0,1
AR,AR,Math,11,1,Need Support,0,818,0,0
AR,AR,Math,11,2,Close,819,874,0,0
AR,AR,Math,11,3,Ready,875,913,0,1
AR,AR,Math,11,4,Exceeding,914,1400,0,1
AR,AR,Math,12,1,Need Support,0,835,0,0
AR,AR,Math,12,2,Close,836,891,0,0
AR,AR,Math,12,3,Ready,892,921,0,1
AR,AR,Math,12,4,Exceeding,922,1400,0,1
AR,AR,Reading,1,1,Need Support,0,153,0,0
AR,AR,Reading,1,2,Close,154,218,0,0
AR,AR,Reading,1,3,Ready,219,293,0,1
AR,AR,Reading,1,4,Exceeding,294,1400,0,1
AR,AR,Reading,2,1,Need Support,0,315,0,0
AR,AR,Reading,2,2,Close,316,385,0,0
AR,AR,Reading,2,3,Ready,386,474,0,1
AR,AR,Reading,2,4,Exceeding,475,1400,0,1
AR,AR,Reading,3,1,Need Support,0,417,1,0
AR,AR,Reading,3,2,Close,418,501,1,0
AR,AR,Reading,3,3,Ready,502,607,1,1
AR,AR,Reading,3,4,Exceeding,608,1400,1,1
AR,AR,Reading,4,1,Need Support,0,439,1,0
AR,AR,Reading,4,2,Close,440,573,1,0
AR,AR,Reading,4,3,Ready,574,724,1,1
AR,AR,Reading,4,4,Exceeding,725,1400,1,1
AR,AR,Reading,5,1,Need Support,0,523,1,0
AR,AR,Reading,5,2,Close,524,698,1,0
AR,AR,Reading,5,3,Ready,699,859,1,1
AR,AR,Reading,5,4,Exceeding,860,1400,1,1
AR,AR,Reading,6,1,Need Support,0,524,1,0
AR,AR,Reading,6,2,Close,525,721,1,0
AR,AR,Reading,6,3,Ready,722,932,1,1
AR,AR,Reading,6,4,Exceeding,933,1400,1,1
AR,AR,Reading,7,1,Need Support,0,525,1,0
AR,AR,Reading,7,2,Close,526,852,1,0
AR,AR,Reading,7,3,Ready,853,1211,1,1
AR,AR,Reading,7,4,Exceeding,1212,1400,1,1
AR,AR,Reading,8,1,Need Support,0,526,1,0
AR,AR,Reading,8,2,Close,527,853,1,0
AR,AR,Reading,8,3,Ready,854,1212,1,1
AR,AR,Reading,8,4,Exceeding,1213,1400,1,1
AR,AR,Reading,9,1,Need Support,0,613,0,0
AR,AR,Reading,9,2,Close,614,923,0,0
AR,AR,Reading,9,3,Ready,924,1253,0,1
AR,AR,Reading,9,4,Exceeding,1254,1400,0,1
AR,AR,Reading,10,1,Need Support,0,620,0,0
AR,AR,Reading,10,2,Close,621,963,0,0
AR,AR,Reading,10,3,Ready,964,1294,0,1
AR,AR,Reading,10,4,Exceeding,1295,1400,0,1
AR,AR,Reading,11,1,Need Support,0,649,0,0
AR,AR,Reading,11,2,Close,650,1001,0,0
AR,AR,Reading,11,3,Ready,1002,1309,0,1
AR,AR,Reading,11,4,Exceeding,1310,1400,0,1
AR,AR,Reading,12,1,Need Support,0,678,0,0
AR,AR,Reading,12,2,Close,679,1081,0,0
AR,AR,Reading,12,3,Ready,1082,1324,0,1
AR,AR,Reading,12,4,Exceeding,1325,1400,0,1
AZ,AZ,Math,1,1,Far Below Standard,0,287,0,0
AZ,AZ,Math,1,2,Approaches Standard,288,360,0,0
AZ,AZ,Math,1,3,Meets Standard,361,467,0,1
AZ,AZ,Math,1,4,Exceeds Standard,468,1400,0,1
AZ,AZ,Math,2,1,Far Below Standard,0,418,0,0
AZ,AZ,Math,2,2,Approaches Standard,419,477,0,0
AZ,AZ,Math,2,3,Meets Standard,478,570,0,1
AZ,AZ,Math,2,4,Exceeds Standard,571,1400,0,1
AZ,AZ,Math,3,1,Far Below Standard,0,478,1,0
AZ,AZ,Math,3,2,Approaches Standard,479,568,1,0
AZ,AZ,Math,3,3,Meets Standard,569,665,1,1
AZ,AZ,Math,3,4,Exceeds Standard,666,1400,1,1
AZ,AZ,Math,4,1,Far Below Standard,0,559,1,0
AZ,AZ,Math,4,2,Approaches Standard,560,635,1,0
AZ,AZ,Math,4,3,Meets Standard,636,740,1,1
