vchRegionCode,StateTest,Subject,Grade,iProficiencyLevel,vchProficiency,iMinSS,iMaxSS,MinRasch,MaxRasch,linked,ProfFlag
AR,AR,Reading,2,4,Exceeding,475,1400,1.0345,999.999,0,1
AR,AR,Reading,3,4,Exceeding,608,1400,2.0455,999.999,1,1
AR,AR,Reading,4,4,Exceeding,725,1400,2.723,999.999,1,1
AR,AR,Reading,5,4,Exceeding,860,1400,3.269,999.999,1,1
AR,AR,Reading,6,4,Exceeding,933,1400,3.67,999.999,1,1
AR,AR,Reading,7,4,Exceeding,1212,1400,4.63,999.999,1,1
AR,AR,Reading,8,4,Exceeding,1213,1400,4.6345,999.999,1,1
AR,AR,Reading,9,4,Exceeding,1254,1400,4.8555,999.999,0,1
AR,AR,Reading,10,4,Exceeding,1295,1400,5.0515,999.999,0,1
AR,AR,Reading,11,4,Exceeding,1310,1400,5.182,999.999,0,1
AR,AR,Reading,12,4,Exceeding,1325,1400,5.4365,999.999,0,1
AR,AR,Math,1,1,Need Support,0,342,-999.999,-4.004,0,0
AR,AR,Math,2,1,Need Support,0,459,-999.999,-2.518,0,0
AR,AR,Math,3,1,Need Support,0,546,-999.999,-1.414,1,0
AR,AR,Math,4,1,Need Support,0,564,-999.999,-1.185,1,0
AR,AR,Math,5,1,Need Support,0,601,-999.999,-0.715,1,0
AR,AR,Math,6,1,Need Support,0,662,-999.999,0.059,1,0
AR,AR,Math,7,1,Need Support,0,738,-999.999,1.024,1,0
AR,AR,Math,8,1,Need Support,0,787,-999.999,1.646,1,0
AR,AR,Math,9,1,Need Support,0,798,-999.999,1.786,0,0
AR,AR,Math,10,1,Need Support,0,802,-999.999,1.837,0,0
AR,AR,Math,11,1,Need Support,0,818,-999.999,2.04,0,0
AR,AR,Math,12,1,Need Support,0,835,-999.999,2.256,0,0
AR,AR,Math,1,2,Close,343,424,-4.004,-2.963,0,0
AR,AR,Math,2,2,Close,460,531,-2.518,-1.604,0,0
AR,AR,Math,3,2,Close,547,622,-1.414,-0.449,1,0
AR,AR,Math,4,2,Close,565,691,-1.185,0.427,1,0
AR,AR,Math,5,2,Close,602,755,-0.715,1.24,1,0
AR,AR,Math,6,2,Close,663,777,0.059,1.519,1,0
AR,AR,Math,7,2,Close,739,821,1.024,2.078,1,0
AR,AR,Math,8,2,Close,788,849,1.646,2.434,1,0
AR,AR,Math,9,2,Close,799,854,1.786,2.497,0,0
AR,AR,Math,10,2,Close,803,859,1.837,2.561,0,0
AR,AR,Math,11,2,Close,819,874,2.04,2.751,0,0
AR,AR,Math,12,2,Close,836,891,2.256,2.967,0,0
AR,AR,Math,1,3,Ready,425,497,-2.963,-2.036,0,1
AR,AR,Math,2,3,Ready,532,598,-1.604,-0.753,0,1
AR,AR,Math,3,3,Ready,623,680,-0.449,0.288,1,1
AR,AR,Math,4,3,Ready,692,761,0.427,1.316,1,1
AR,AR,Math,5,3,Ready,756,814,1.24,1.989,1,1
AR,AR,Math,6,3,Ready,778,841,1.519,2.332,1,1
AR,AR,Math,7,3,Ready,822,876,2.078,2.776,1,1
AR,AR,Math,8,3,Ready,850,889,2.434,2.941,1,1
AR,AR,Math,9,3,Ready,855,894,2.497,3.005,0,1
AR,AR,Math,10,3,Ready,860,899,2.561,3.068,0,1
AR,AR,Math,11,3,Ready,875,913,2.751,3.246,0,1
AR,AR,Math,12,3,Ready,892,921,2.967,3.348,0,1
AR,AR,Math,1,4,Exceeding,498,1400,-2.036,999.999,0,1
AR,AR,Math,2,4,Exceeding,599,1400,-0.753,999.999,0,1
AR,AR,Math,3,4,Exceeding,681,1400,0.288,999.999,1,1
AR,AR,Math,4,4,Exceeding,762,1400,1.316,999.999,1,1
AR,AR,Math,5,4,Exceeding,815,1400,1.989,999.999,1,1
AR,AR,Math,6,4,Exceeding,842,1400,2.332,999.999,1,1
AR,AR,Math,7,4,Exceeding,877,1400,2.776,999.999,1,1
AR,AR,Math,8,4,Exceeding,890,1400,2.941,999.999,1,1
AR,AR,Math,9,4,Exceeding,895,1400,3.005,999.999,0,1
AR,AR,Math,10,4,Exceeding,900,1400,3.068,999.999,0,1
AR,AR,Math,11,4,Exceeding,914,1400,3.246,999.999,0,1
AR,AR,Math,12,4,Exceeding,922,1400,3.348,999.999,0,1
AZ,AZ,Reading,1,1,Far Below Standard,0,66,-999.999,-5.149,0,0
AZ,AZ,Reading,2,1,Far Below Standard,0,94,-999.999,-3.31,0,0
AZ,AZ,Reading,3,1,Far Below Standard,0,175,-999.999,-2.187,1,0
AZ,AZ,Reading,4,1,Far Below Standard,0,230,-999.999,-1.5235,1,0
AZ,AZ,Reading,5,1,Far Below Standard,0,314,-999.999,-0.556,1,0
AZ,AZ,Reading,6,1,Far Below Standard,0,335,-999.999,-0.3325,1,0
AZ,AZ,Reading,7,1,Far Below Standard,0,382,-999.999,0.187,1,0
AZ,AZ,Reading,8,1,Far Below Standard,0,449,-999.999,0.76,1,0
AZ,AZ,Reading,9,1,Far Below Standard,0,529,-999.999,1.489,0,0
AZ,AZ,Reading,10,1,Far Below Standard,0,547,-999.999,1.608,0,0
AZ,AZ,Reading,11,1,Far Below Standard,0,571,-999.999,1.808,0,0
AZ,AZ,Reading,12,1,Far Below Standard,0,584,-999.999,1.897,0,0
AZ,AZ,Reading,1,2,Approaches Standard,67,88,-5.149,-3.556,0,0
AZ,AZ,Reading,2,2,Approaches Standard,95,221,-3.31,-1.6345,0,0
AZ,AZ,Reading,3,2,Approaches Standard,176,316,-2.187,-0.532,1,0
