CountryCode,RegionCode,TestCode,Subject,Grade,ProficiencyLevel,ProficiencyName,MinRasch,MaxRasch,Linked,ProficiencyFlag
US,AZ,AZ,READING,11,3,Proficient,4.4985,5.48,0,0
US,AZ,AZ,READING,11,4,Highly Proficient,5.48,999.999,0,1
US,AZ,AZ,READING,12,1,Minimally Proficient,-999.999,3.778,0,-1
US,AZ,AZ,READING,12,2,Partially Proficient,3.778,4.71,0,-1
US,AZ,AZ,READING,12,3,Proficient,4.71,5.699,0,0
US,AZ,AZ,READING,12,4,Highly Proficient,5.699,999.999,0,1
US,AZ,AZ,READING,2,1,Minimally Proficient,-999.999,-1.0495,0,-1
US,AZ,AZ,READING,2,2,Partially Proficient,-1.0495,-0.556,0,-1
US,AZ,AZ,READING,2,3,Proficient,-0.556,0.75,0,0
US,AZ,AZ,READING,2,4,Highly Proficient,0.75,999.999,0,1
US,AZ,AZ,READING,3,1,Minimally Proficient,-999.999,0.218,1,-1
US,AZ,AZ,READING,3,2,Partially Proficient,0.218,0.673,1,-1
US,AZ,AZ,READING,3,3,Proficient,0.673,1.8735,1,0
US,AZ,AZ,READING,3,4,Highly Proficient,1.8735,999.999,1,1
US,AZ,AZ,READING,4,1,Minimally Proficient,-999.999,0.76,1,-1
US,AZ,AZ,READING,4,2,Partially Proficient,0.76,1.3285,1,-1
US,AZ,AZ,READING,4,3,Proficient,1.3285,2.7285,1,0
US,AZ,AZ,READING,4,4,Highly Proficient,2.7285,999.999,1,1
US,AZ,AZ,READING,5,1,Minimally Proficient,-999.999,1.088,1,-1
US,AZ,AZ,READING,5,2,Partially Proficient,1.088,1.978,1,-1
US,AZ,AZ,READING,5,3,Proficient,1.978,3.23,1,0
US,AZ,AZ,READING,5,4,Highly Proficient,3.23,999.999,1,1
US,AZ,AZ,READING,6,1,Minimally Proficient,-999.999,1.897,1,-1
US,AZ,AZ,READING,6,2,Partially Proficient,1.897,2.757,1,-1
US,AZ,AZ,READING,6,3,Proficient,2.757,4.3145,1,0
US,AZ,AZ,READING,6,4,Highly Proficient,4.3145,999.999,1,1
US,AZ,AZ,READING,7,1,Minimally Proficient,-999.999,2.222,1,-1
US,AZ,AZ,READING,7,2,Partially Proficient,2.222,2.9435,1,-1
US,AZ,AZ,READING,7,3,Proficient,2.9435,4.509,1,0
US,AZ,AZ,READING,7,4,Highly Proficient,4.509,999.999,1,1
US,AZ,AZ,READING,8,1,Minimally Proficient,-999.999,2.8895,1,-1
US,AZ,AZ,READING,8,2,Partially Proficient,2.8895,3.843,1,-1
US,AZ,AZ,READING,8,3,Proficient,3.843,4.9145,1,0
US,AZ,AZ,READING,8,4,Highly Proficient,4.9145,999.999,1,1
US,AZ,AZ,READING,9,1,Minimally Proficient,-999.999,3.2655,0,-1
US,AZ,AZ,READING,9,2,Partially Proficient,3.2655,4.1515,0,-1
US,AZ,AZ,READING,9,3,Proficient,4.1515,5.1275,0,0
US,AZ,AZ,READING,9,4,Highly Proficient,5.1275,999.999,0,1
US,CA,CA,READING,1,1,Level 1,-999.999,-3.441416259,0,-1
US,CA,CA,READING,1,2,Level 2,-3.441416259,-2.323317028,0,-1
US,CA,CA,READING,1,3,Level 3,-2.323317028,-1.321686466,0,0
