GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM
8,EOC_MATHEMATICS_1 ,547,28
8,EOC_MATHEMATICS_1 ,567,33
8,EOC_MATHEMATICS_1 ,600,46
8,EOC_MATHEMATICS_1 ,675,83
9,EOC_MATHEMATICS_1 ,200,84
9,EOC_MATHEMATICS_1 ,239,47
9,EOC_MATHEMATICS_1 ,273,34
9,EOC_MATHEMATICS_1 ,294,28
9,EOC_MATHEMATICS_1 ,309,25
9,EOC_MATHEMATICS_1 ,322,23
9,EOC_MATHEMATICS_1 ,332,21
9,EOC_MATHEMATICS_1 ,342,20
9,EOC_MATHEMATICS_1 ,350,19
9,EOC_MATHEMATICS_1 ,358,18
9,EOC_MATHEMATICS_1 ,365,18
9,EOC_MATHEMATICS_1 ,375,17
9,EOC_MATHEMATICS_1 ,378,17
9,EOC_MATHEMATICS_1 ,385,17
9,EOC_MATHEMATICS_1 ,391,16
9,EOC_MATHEMATICS_1 ,400,16
9,EOC_MATHEMATICS_1 ,402,16
9,EOC_MATHEMATICS_1 ,407,16
9,EOC_MATHEMATICS_1 ,413,16
9,EOC_MATHEMATICS_1 ,418,16
9,EOC_MATHEMATICS_1 ,424,16
9,EOC_MATHEMATICS_1 ,429,15
9,EOC_MATHEMATICS_1 ,434,15
9,EOC_MATHEMATICS_1 ,443,16
9,EOC_MATHEMATICS_1 ,445,16
9,EOC_MATHEMATICS_1 ,450,16
9,EOC_MATHEMATICS_1 ,456,16
9,EOC_MATHEMATICS_1 ,461,16
9,EOC_MATHEMATICS_1 ,467,16
9,EOC_MATHEMATICS_1 ,473,17
9,EOC_MATHEMATICS_1 ,480,17
9,EOC_MATHEMATICS_1 ,487,18
9,EOC_MATHEMATICS_1 ,494,19
9,EOC_MATHEMATICS_1 ,502,19
9,EOC_MATHEMATICS_1 ,510,21
9,EOC_MATHEMATICS_1 ,520,22
9,EOC_MATHEMATICS_1 ,532,24
9,EOC_MATHEMATICS_1 ,547,28
9,EOC_MATHEMATICS_1 ,567,33
9,EOC_MATHEMATICS_1 ,600,46
9,EOC_MATHEMATICS_1 ,675,83
8,EOC_MATHEMATICS_2 ,200,62
8,EOC_MATHEMATICS_2 ,270,34
8,EOC_MATHEMATICS_2 ,295,25
8,EOC_MATHEMATICS_2 ,310,21
8,EOC_MATHEMATICS_2 ,321,18
8,EOC_MATHEMATICS_2 ,330,17
8,EOC_MATHEMATICS_2 ,337,15
8,EOC_MATHEMATICS_2 ,344,15
8,EOC_MATHEMATICS_2 ,350,14
8,EOC_MATHEMATICS_2 ,356,13
8,EOC_MATHEMATICS_2 ,361,13
8,EOC_MATHEMATICS_2 ,366,13
8,EOC_MATHEMATICS_2 ,370,12
8,EOC_MATHEMATICS_2 ,375,12
8,EOC_MATHEMATICS_2 ,379,12
8,EOC_MATHEMATICS_2 ,383,12
8,EOC_MATHEMATICS_2 ,387,12
8,EOC_MATHEMATICS_2 ,391,12
8,EOC_MATHEMATICS_2 ,395,11
8,EOC_MATHEMATICS_2 ,400,11
8,EOC_MATHEMATICS_2 ,403,11
8,EOC_MATHEMATICS_2 ,407,11
8,EOC_MATHEMATICS_2 ,411,11
8,EOC_MATHEMATICS_2 ,415,11
8,EOC_MATHEMATICS_2 ,419,12
8,EOC_MATHEMATICS_2 ,423,12
8,EOC_MATHEMATICS_2 ,427,12
8,EOC_MATHEMATICS_2 ,431,12
8,EOC_MATHEMATICS_2 ,436,12
8,EOC_MATHEMATICS_2 ,440,12
8,EOC_MATHEMATICS_2 ,445,13
8,EOC_MATHEMATICS_2 ,450,13
8,EOC_MATHEMATICS_2 ,455,14
8,EOC_MATHEMATICS_2 ,461,15
8,EOC_MATHEMATICS_2 ,468,16
8,EOC_MATHEMATICS_2 ,476,17
8,EOC_MATHEMATICS_2 ,485,19
8,EOC_MATHEMATICS_2 ,497,21
8,EOC_MATHEMATICS_2 ,513,26
8,EOC_MATHEMATICS_2 ,540,35
8,EOC_MATHEMATICS_2 ,600,63
9,EOC_MATHEMATICS_2 ,200,62
9,EOC_MATHEMATICS_2 ,270,34
9,EOC_MATHEMATICS_2 ,295,25
9,EOC_MATHEMATICS_2 ,310,21
9,EOC_MATHEMATICS_2 ,321,18
9,EOC_MATHEMATICS_2 ,330,17
9,EOC_MATHEMATICS_2 ,337,15
9,EOC_MATHEMATICS_2 ,344,15
9,EOC_MATHEMATICS_2 ,350,14
9,EOC_MATHEMATICS_2 ,356,13
9,EOC_MATHEMATICS_2 ,361,13
9,EOC_MATHEMATICS_2 ,366,13
9,EOC_MATHEMATICS_2 ,370,12
9,EOC_MATHEMATICS_2 ,375,12
9,EOC_MATHEMATICS_2 ,379,12
9,EOC_MATHEMATICS_2 ,383,12
9,EOC_MATHEMATICS_2 ,387,12
9,EOC_MATHEMATICS_2 ,391,12
9,EOC_MATHEMATICS_2 ,395,11
9,EOC_MATHEMATICS_2 ,400,11
9,EOC_MATHEMATICS_2 ,403,11
9,EOC_MATHEMATICS_2 ,407,11
9,EOC_MATHEMATICS_2 ,411,11
9,EOC_MATHEMATICS_2 ,415,11
9,EOC_MATHEMATICS_2 ,419,12
9,EOC_MATHEMATICS_2 ,423,12
9,EOC_MATHEMATICS_2 ,427,12
9,EOC_MATHEMATICS_2 ,431,12
9,EOC_MATHEMATICS_2 ,436,12
9,EOC_MATHEMATICS_2 ,440,12
9,EOC_MATHEMATICS_2 ,445,13
9,EOC_MATHEMATICS_2 ,450,13
9,EOC_MATHEMATICS_2 ,455,14
9,EOC_MATHEMATICS_2 ,461,15
9,EOC_MATHEMATICS_2 ,468,16
9,EOC_MATHEMATICS_2 ,476,17
9,EOC_MATHEMATICS_2 ,485,19
9,EOC_MATHEMATICS_2 ,497,21
9,EOC_MATHEMATICS_2 ,513,26
9,EOC_MATHEMATICS_2 ,540,35
9,EOC_MATHEMATICS_2 ,600,63
